molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E,F,G
CBrClF2,bromochlorodifluoromethane,353-59-3,150.0,1500.0,14.729573749719,0.32661188584946,-0.00056320274726959,5.6699636477897E-07,-3.3804581823991E-10,1.10652502555E-13,-1.532176142521E-17
CBrCl2F,bromodichlorofluoromethane,353-58-2,150.0,1500.0,15.279442189396,0.38411708576028,-0.00078799691498061,9.4196751509154E-07,-6.6153213367691E-10,2.5208300336377E-13,-4.0097997749191E-17
CBrCl3,bromotrichloromethane,75-62-7,150.0,1500.0,17.105933971501,0.43056154861475,-0.00098036709551872,1.2675050798022E-06,-9.4324983056869E-10,3.7511851833199E-13,-6.1594154634955E-17
CBrF3,bromotrifluoromethane,75-63-8,150.0,1500.0,15.87097071185,0.25731205413728,-0.00030817414588677,1.5153680452204E-07,1.5374722082065E-11,-4.2252442850385E-14,1.1222037282412E-17
CBrN,cyanogen bromide,506-68-3,150.0,1500.0,-8.5675267787415,0.40650864947469,-0.0011878588356888,1.8830625302687E-06,-1.6403993700376E-09,7.3775898670035E-13,-1.3343443393909E-16
CBr2ClF,dibromochlorofluoromethane,353-55-9,150.0,1500.0,19.282752392218,0.39353158233561,-0.00090783119413455,1.279853018587E-06,-1.0932328813046E-09,5.1060297254089E-13,-9.8026250417245E-17
CBr2Cl2,dibromodichloromethane,594-18-3,150.0,1500.0,22.555579738602,0.42346290531325,-0.0010487279183521,1.5343315913743E-06,-1.3291438148858E-09,6.2194749188762E-13,-1.1909583507654E-16
CBr2F2,dibromodifluoromethane,75-61-6,150.0,1500.0,19.678995745661,0.31961988741003,-0.00058256287354251,6.3197286933823E-07,-4.1124176731254E-10,1.4781507782257E-13,-2.249218946302E-17
CBr3Cl,tribromochloromethane,594-15-0,150.0,1500.0,28.74683895691,0.40398474806264,-0.0010257813591639,1.5321536748484E-06,-1.3481878006607E-09,6.3779002108771E-13,-1.2302612313164E-16
CBr3F,tribromofluoromethane,353-54-8,150.0,1500.0,26.625193481001,0.35003060362698,-0.00074762031829254,9.2838831513073E-07,-6.7396716916508E-10,2.6400217402969E-13,-4.2948798812122E-17
CBr4,carbon tetrabromide,558-13-4,150.0,1500.0,37.350255706262,0.34306167544789,-0.00079304295036139,1.0350900808207E-06,-7.7510510220417E-10,3.0957094769077E-13,-5.0984907101509E-17
CClF3,chlorotrifluoromethane,75-72-9,150.0,1500.0,12.501065496842,0.25064198060028,-0.00024317217609383,9.5319168081738E-09,1.5805454434024E-10,-1.1127293432941E-13,2.4215603176073E-17
CClN,cyanogen chloride,506-77-4,150.0,1500.0,-10.151067746978,0.41764133619444,-0.0012399372909875,1.9777963347876E-06,-1.7114296194654E-09,7.5666972552034E-13,-1.3384941830298E-16
CCl2F2,dichlorodifluoromethane,75-71-8,150.0,1500.0,10.278656079857,0.32984287276063,-0.00053424392220868,4.9286901388552E-07,-2.6423076625167E-10,7.6943645880353E-14,-9.4595001477095E-18
CCl2O,phosgene,75-44-5,150.0,1500.0,-3.9268215920217,0.42047780939244,-0.0011079944933162,1.6937672808562E-06,-1.4713195038472E-09,6.6918261422761E-13,-1.2280688572145E-16
CCl3F,trichlorofluoromethane,75-69-4,150.0,1500.0,10.751293583687,0.39447673021859,-0.00079057574987273,9.2448326223492E-07,-6.3753019361288E-10,2.3967386049132E-13,-3.7779203044766E-17
CCl3I,trichloroiodomethane,594-22-9,150.0,1500.0,18.391921780298,0.43813884819347,-0.0010306003337957,1.3781104747303E-06,-1.0623200546627E-09,4.3834648140237E-13,-7.4777337649529E-17
CCl4,carbon tetrachloride,56-23-5,150.0,1500.0,2.1322481621501,0.53460605698903,-0.0013004608747629,1.7814487100314E-06,-1.3874229201549E-09,5.701515104925E-13,-9.5644730759164E-17
CD4O,methanol-d4,811-98-3,150.0,1500.0,27.862199607525,-0.004403664853291,0.00052147085267651,-1.1154342196998E-06,1.1302088490039E-09,-5.7473476408695E-13,1.1607074735097E-16
CF2N2,difluorodiazirine,693-85-6,150.0,1500.0,20.99272293517,0.12189609058102,0.00015176949889312,-5.7014598077909E-07,6.1794573724365E-10,-3.0086818266252E-13,5.6040113787477E-17
CF2O,carbonyl fluoride,353-50-4,150.0,1500.0,14.499205852744,0.13788088364823,-9.1578151373695E-05,-2.3723356227252E-08,5.6961908854342E-11,-2.1337324237164E-14,1.726833482224E-18
CF3I,trifluoroiodomethane,2314-97-8,150.0,1500.0,21.434181933552,0.2329022529507,-0.0002519152541811,7.5828111762581E-08,7.412683762844E-11,-6.6471785936079E-14,1.5315655840396E-17
CF4,carbon tetrafluoride,75-73-0,150.0,1500.0,16.301630163808,0.15313928765131,0.00011057183684997,-5.7565422777912E-07,6.6605754600791E-10,-3.3548121392207E-13,6.3855141026646E-17
CHBrClF,bromochlorofluoromethane,593-98-6,150.0,1500.0,26.228056040114,0.13806818519139,9.9420364423758E-06,-3.0301547145216E-07,3.8642091999653E-10,-2.0249627800881E-13,3.942255178932E-17
CHBrCl2,bromodichloromethane,75-27-4,150.0,1500.0,26.395662617545,0.18336253510046,-0.00015475520095419,-4.366682054533E-08,1.7306296955689E-10,-1.1277848367402E-13,2.4199337897329E-17
CHBrF2,bromodifluoromethane,1511-62-2,150.0,1500.0,31.497941594998,0.058234608622733,0.00025915084062195,-6.7052118022855E-07,6.7696251106699E-10,-3.213750687585E-13,5.9200347079358E-17
CHBr2Cl,chlorodibromomethane,124-48-1,150.0,1500.0,29.719438826918,0.17547555996052,-0.00013739145870995,-7.5350524716052E-08,2.0621389221032E-10,-1.2994312796914E-13,2.7636220395894E-17
CHBr2F,dibromofluoromethane,1868-53-7,150.0,1500.0,28.229094802747,0.1498197872154,-5.2386050403537E-05,-1.8800949231902E-07,2.8164418213085E-10,-1.5512172044978E-13,3.0944199022148E-17
CHBr3,bromoform,75-25-2,150.0,1500.0,32.985604553373,0.17051918986342,-0.00014022695009393,-6.0990442897938E-08,1.9052922927409E-10,-1.2230830887628E-13,2.6201678175892E-17
CHClF2,chlorodifluoromethane,75-45-6,150.0,1500.0,28.488620280645,0.038526941849985,0.00037754894388837,-9.1015363802525E-07,9.1106759111215E-10,-4.330397405205E-13,8.0041281413692E-17
CHCl2F,dichlorofluoromethane,75-43-4,150.0,1500.0,24.196244420678,0.13003686500941,6.0284134617121E-05,-4.0055128619739E-07,4.7742587715332E-10,-2.4411686119484E-13,4.6895026190597E-17
