molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E,F,G
Ac,actinium,7440-34-8,150.0,1500.0,20.380172633856,0.0042774056662645,0.0,0.0,0.0,0.0,0.0
AcBrO,actinium oxybromide,49848-33-1,150.0,1500.0,34.991485167032,0.11419677323276,-0.00024266558958989,2.7143893323137e-07,-1.5808244642475e-10,4.2625114697185e-14,-3.5342703145233e-18
AcBr3,actinium bromide,33689-81-5,150.0,1500.0,53.295214785965,0.12496085056688,-0.00015910206106544,1.7230807832388e-08,1.3330182999822e-10,-1.1074512792408e-13,2.7228485806011e-17
AcClO,actinium oxychloride,49848-29-5,150.0,1500.0,34.361215435849,0.11187980807024,-0.00023940621650036,2.7625350573607e-07,-1.7376844712147e-10,5.5623426009816e-14,-6.9732916310027e-18
AcCl3,actinium chloride,22986-54-5,150.0,1500.0,51.404405593775,0.11800995505653,-0.00014932394167957,3.1674525080732e-08,8.6243828203268e-11,-7.1750194143604e-14,1.6911421888783e-17
AcFO,actinium oxyfluoride,49848-24-0,150.0,1500.0,35.511548470251,0.041003066976417,6.768858834118e-05,-2.9599772928833e-07,3.7226735850581e-10,-2.0523942542239e-13,4.2336592418004e-17
AcF3,actinium fluoride,33689-80-4,150.0,1500.0,54.855404688404,-0.094620268081104,0.00077196047210543,-1.6850791783186e-06,1.7243512432283e-09,-8.5433874745115e-13,1.6484107383363e-16
AcH2,actinium hydride,60936-81-4,150.0,1500.0,21.029024278102,0.11492229667677,-0.00035145138730947,5.5676165870211e-07,-4.3912729630669e-10,1.6755136100216e-13,-2.4515657044664e-17
AcH3O3,actinium hydroxide,12249-30-8,150.0,1500.0,66.385089996017,-0.10507059638485,0.00079828226665319,-1.5297284655947e-06,1.4618557358545e-09,-7.0666412961137e-13,1.3651009909181e-16
AcI3,actinium iodide,33689-82-6,150.0,1500.0,50.780779167744,0.20529317807154,-0.00057252936658524,9.6142475120617e-07,-9.0513802952737e-10,4.3273372088194e-13,-8.1595033217626e-17
Ac2O3,actinium oxide,12002-61-8,150.0,1500.0,59.360666031817,0.03443711367241,0.00021939111441079,-5.7887940721084e-07,6.1153866665019e-10,-3.0626934933791e-13,5.9691195785155e-17
Ac2S3,actinium sulfide,50647-18-2,150.0,1500.0,66.33793875599,0.068498315023455,0.0001414570953805,-5.1665792390878e-07,5.9036676841395e-10,-3.0185917580898e-13,5.8626982145311e-17
Ag,silver,7440-22-4,150.0,1500.0,20.786,0.0,0.0,0.0,0.0,0.0,0.0
AgAsF6,silver hexafluoroarsenate,12005-82-2,150.0,1500.0,117.39223469837,-0.37243289170326,0.0023322067667506,-4.7461237566768e-06,4.6677903234574e-09,-2.2535673168326e-12,4.2720464032028e-16
AgBF4,silver tetrafluoroborate,14104-20-2,150.0,1500.0,87.211382164951,-0.30995886365726,0.0018843660058696,-3.8390139192929e-06,3.7901096210103e-09,-1.8340838180337e-12,3.4793959195026e-16
AgBr,silver bromide,7785-23-1,150.0,1500.0,22.25512149941,0.17367588631251,-0.00055819510168104,8.4893212120273e-07,-6.8305828299049e-10,2.8218139540258e-13,-4.7221139748217e-17
AgBrO3,silver bromate,7783-89-3,150.0,1500.0,60.46421250292,-0.0047614529375717,0.00038839343464826,-8.8354744283806e-07,8.9186922684748e-10,-4.3648744678869e-13,8.3839468568228e-17
CAgF3O3S,silver trifluoromethanesulfonate,2923-28-6,150.0,1500.0,124.46607089621,-0.46995030022533,0.0027332643001962,-5.3446924296978e-06,5.1067693134694e-09,-2.411798593526e-12,4.4961163890326e-16
CAgN,silver cyanide,506-64-9,150.0,1500.0,35.982537500401,-0.0069690134086235,0.0002741384016208,-6.7830418082041e-07,7.2664830636052e-10,-3.651221243292e-13,7.0396073078493e-17
C2AgF3O2,silver trifluoroacetate,2966-50-9,150.0,1500.0,113.00703993646,-0.51111312125067,0.0028533470673601,-5.5808275397061e-06,5.3534469604698e-09,-2.5348608696337e-12,4.7297046284048e-16
C2HAg,silver (I) acetylide,13092-75-6,150.0,1500.0,46.560957478724,-0.14105677655904,0.00089573106632069,-1.8299897669181e-06,1.8139612259577e-09,-8.783115516012e-13,1.662748453266e-16
C2H3AgO2,silver (I) acetate,563-63-3,150.0,1500.0,86.327634237766,-0.34312611025768,0.0019330803253389,-3.6929972623992e-06,3.5160239426569e-09,-1.6685174092825e-12,3.1357887971681e-16
C3H7AgO4,silver (I) lactate monohydrate,128-00-7,150.0,1500.0,156.72771437135,-0.77707386490578,0.004101883604245,-7.6344068690518e-06,7.1597697237766e-09,-3.3705213429827e-12,6.3119103456971e-16
C4AgF7O2,silver heptafluorobutyrate,3794-64-7,150.0,1500.0,209.84638762322,-1.1988526445761,0.0063432774303522,-1.2254738799625e-05,1.1686710447676e-08,-5.5135816361499e-12,1.0261088147349e-15
C5H10AgNS2,silver diethyldithiocarbamate,1470-61-7,150.0,1500.0,202.93434292716,-1.1138445636747,0.0057853477292285,-1.0813439136004e-05,1.0181328686209e-08,-4.7995801726773e-12,8.9822311402369e-16
C5H7AgO2,silver acetylacetonate,15525-64-1,150.0,1500.0,163.9338949504,-0.95565026578142,0.0049211521512629,-9.2201824788405e-06,8.6889620950709e-09,-4.0928183425107e-12,7.6457294587577e-16
C6H4AgN3O8,silver (I) picrate monohydrate,146-84-9,150.0,1500.0,273.97463284005,-1.5053309087155,0.0078502063712718,-1.4711608817945e-05,1.373516644243e-08,-6.3934068656906e-12,1.1805691458531e-15
C7H5AgO2,silver benzoate,532-31-0,150.0,1500.0,182.31885343225,-1.1700737851322,0.0059651894868791,-1.1252923343338e-05,1.0615995094045e-08,-4.9831346061744e-12,9.2539830032086e-16
C7H7AgO3S,silver p-toluenesulfonate,16836-95-6,150.0,1500.0,224.41128776967,-1.3607893851083,0.0069765607398693,-1.3095190345101e-05,1.2311000512128e-08,-5.7718704064371e-12,1.072347596918e-15
C8H12AgBF4N4,"silver (I), tetrafluoroborate tetrakis(acetonitrile)",93556-88-8,150.0,1500.0,355.32274510596,-2.2237044332139,0.011350282651095,-2.1341012441417e-05,2.0132610553114e-08,-9.4785298423064e-12,1.7684007676856e-15
C8H15AgO2,silver 2-ethylhexanoate,26077-31-6,150.0,1500.0,270.12805450404,-1.7343966362732,0.0087218044462925,-1.6163409933078e-05,1.5166122333202e-08,-7.1393058675249e-12,1.3354276029261e-15
C10H10AgF7O2,"silver (I), 6,6,7,7,8,8,8-heptafluoro-2,2-dimethyl-3,5-octanedionate",76121-99-8,150.0,1500.0,379.35285846865,-2.5070120631008,0.012725711316718,-2.4017130351325e-05,2.2684697795273e-08,-1.0673276798451e-11,1.9880272424886e-15
C10H17AgO2,silver cyclohexanebutyrate,62638-04-4,150.0,1500.0,317.10091184453,-2.1150423708874,0.010578422252532,-1.9612193038807e-05,1.8397377421701e-08,-8.6518087250025e-12,1.616113548677e-15
C13H13AgF6O2,"silver (I), hexafluoroacetylacetonate (1,5-cyclooctadiene)",38892-25-0,150.0,1500.0,433.77203453943,-2.9804294410042,0.01500073732842,-2.8207017692046e-05,2.6593050568094e-08,-1.249770328369e-11,2.3259604857712e-15
AgCl,silver (I) chloride,7783-90-6,150.0,1500.0,21.624851768595,0.17135892114388,-0.00055493572856062,8.5374669363863e-07,-6.987442836119e-10,2.9517970667555e-13,-5.0660161056666e-17
AgClH2O5,silver (I) perchlorate monohydrate,14242-05-8,150.0,1500.0,99.600619534902,-0.20914775186773,0.0014290020671108,-2.7417403666179e-06,2.5782459437417e-09,-1.2136949936327e-12,2.2770448173918e-16
AgClO2,silver chlorite,7783-91-7,150.0,1500.0,47.09757910586,0.052400694950625,7.6123295794642e-05,-3.0123968269437e-07,3.5120738995142e-10,-1.8393285496483e-13,3.6713577857582e-17
AgClO3,silver (I) chlorate,7783-92-8,150.0,1500.0,59.833942772829,-0.0070784181183248,0.00039165280783102,-8.7873287054339e-07,8.7618322638289e-10,-4.2348913559933e-13,8.0400447276889e-17
AgClO4,silver (I) perchlorate,7783-93-9,150.0,1500.0,72.570306441916,-0.066557531222637,0.0007071823200487,-1.4562260588016e-06,1.4011590632672e-09,-6.6304541647463e-13,1.2408731674534e-16
AgF,silver (I) fluoride,7775-41-9,150.0,1500.0,22.775184801322,0.10048218007809,-0.00024784092386278,2.8149545893846e-07,-1.5270847834334e-10,3.4316855434003e-14,-1.350277046558e-18
AgF2,silver (II) fluoride,7783-95-1,150.0,1500.0,38.815294745174,0.002930955993227,0.00026205977414866,-7.0179185975247e-07,7.8582138251222e-10,-4.1001094604598e-13,8.1745398401223e-17
AgF6P,silver hexafluorophosphate,26042-63-7,150.0,1500.0,120.36581115567,-0.44100576404124,0.0026551531086521,-5.3916526738802e-06,5.3057085732961e-09,-2.5608910486209e-12,4.8489199345436e-16
AgF6Sb,silver hexafluoroantimonate (V),26042-64-8,150.0,1500.0,117.39223469837,-0.37243289170326,0.0023322067667506,-4.7461237566768e-06,4.6677903234574e-09,-2.2535673168326e-12,4.2720464032028e-16
AgF2H,silver (I) hydrogen fluoride,12249-52-4,150.0,1500.0,45.962269457146,-0.038624597777617,0.00046520489157394,-1.05580241954e-06,1.1118769043179e-09,-5.6555759419356e-13,1.1171054616526e-16
AgI,silver (I) iodide,7783-96-2,150.0,1500.0,21.416976292295,0.20045332883158,-0.00069600420361146,1.1636634358662e-06,-1.0292049030611e-09,4.6334101179341e-13,-8.3495646114451e-17
AgIO3,silver (I) iodate,7783-97-3,150.0,1500.0,59.62606729896,0.022015989528545,0.00025058433299051,-5.688161287925e-07,5.4572260746319e-10,-2.5532783076383e-13,4.7564962276873e-17
AgMnO4,silver (I) permanganate,7783-98-4,150.0,1500.0,72.097029703158,-0.025041999469732,0.000534920626823,-1.1563725959093e-06,1.1365145040229e-09,-5.4582563047338e-13,1.033780653068e-16
AgNO2,silver (I) nitrite,7783-99-5,150.0,1500.0,45.115810882934,0.022840073875078,0.0001800336405845,-4.6290956475885e-07,4.8702795823282e-10,-2.4352990577776e-13,4.7391986962692e-17
AgNO3,silver (I) nitrate,7761-88-8,150.0,1500.0,57.852174550495,-0.036639039203881,0.00049556315267306,-1.0404027527275e-06,1.0120037947984e-09,-4.830861864843e-13,9.1078856396826e-17
AgN3,silver azide,13863-88-2,150.0,1500.0,45.459100925236,0.029328091826186,0.0001624070927075,-4.5333512114916e-07,4.9370553308504e-10,-2.505413466012e-13,4.8946649207756e-17
AgO,silver (II) oxide,1301-96-8,150.0,1500.0,19.471438524083,0.13855429110015,-0.00044221210987041,6.872895898561e-07,-5.6626250285327e-10,2.3908837632597e-13,-4.0759083084664e-17
CAgNS,silver (I) thiocyanate,1701-93-5,150.0,1500.0,51.044658743424,-0.055094392716016,0.00056368990742667,-1.2350568744892e-06,1.2445668436599e-09,-6.0320834726916e-13,1.1372820464808e-16
CAg2O3,silver (I) carbonate,534-16-7,150.0,1500.0,75.700119988188,-0.1143301998322,0.00094455489994563,-1.9492603999319e-06,1.9011106887055e-09,-9.0697412972463e-13,1.7006902085519e-16
C2Ag2,silver (I) acetylide,7659-31-6,150.0,1500.0,53.830482938674,-0.084660174046921,0.00072313014894605,-1.5871618281468e-06,1.6157552004054e-09,-7.8901006764401e-13,1.4938623755226e-16
C2Ag2O4,silver (I) oxalate,533-51-7,150.0,1500.0,104.77593761552,-0.32257662647243,0.0019852481978577,-3.897134581269e-06,3.715658548039e-09,-1.7472351911952e-12,3.2413371543609e-16
C20H20Ag2Cr2N4O7,"silver dichromate, tetrakis(pyridine)",89952-87-4,150.0,1500.0,660.49972914172,-4.2051950026451,0.021335640572374,-3.9889872310667e-05,3.7392950372674e-08,-1.7494261372511e-11,3.2453080117509e-15
Ag2CrO4,silver chromate,7784-01-02 00:00:00,150.0,1500.0,86.513529875106,-0.010200950729158,0.00056546482687828,-1.2675552169383e-06,1.2643640002925e-09,-6.1207079467329e-13,1.1645460529859e-16
Ag2Cr2O7,silver dichromate,7784-02-03 00:00:00,150.0,1500.0,139.13912105415,-0.17379724129901,0.0015425975635741,-3.1112174027146e-06,2.9671410071857e-09,-1.3969848014838e-12,2.6059175369268e-16
Ag2F,silver subfluoride,1302-01-8,150.0,1500.0,37.191684974708,0.11532322879482,-0.00021729672368642,1.7031283763874e-07,-2.4858981776466e-11,-3.1928308922951e-14,1.1726262977113e-17
Ag2HgI4,silver (I) tetraiodomercurate (II),7784-03-04 00:00:00,150.0,1500.0,94.29568095087,0.23739520014803,-0.00044970354783842,6.3794016654676e-07,-5.8740559992685e-10,2.8493974687234e-13,-5.4491646754611e-17
Ag2MoO4,silver (I) molybdate,13765-74-7,150.0,1500.0,86.513529875106,-0.010200950729158,0.00056546482687828,-1.2675552169383e-06,1.2643640002925e-09,-6.1207079467329e-13,1.1645460529859e-16
Ag2O,silver (I) oxide,20667-12-3,150.0,1500.0,33.887938697136,0.15339533982244,-0.00041166790972252,5.7610696862045e-07,-4.384130063571e-10,1.7284321200652e-13,-2.768254306863e-17
Ag2O2,silver peroxide,25455-73-6,150.0,1500.0,46.624302364214,0.093916226751744,-9.6138397677506e-05,-1.3862192474713e-09,8.656283009481e-11,-6.6713068638676e-14,1.6004326352832e-17
Ag2O3Se,silver selenite,7784-05-06 00:00:00,150.0,1500.0,73.777166205512,0.04927816238383,0.00024993531461534,-6.9006202857639e-07,7.3938816329205e-10,-3.7251451373567e-13,7.2767735817318e-17
Ag2O4Se,silver selenate,7784-07-08 00:00:00,150.0,1500.0,86.513529875106,-0.010200950729158,0.00056546482687828,-1.2675552169383e-06,1.2643640002925e-09,-6.1207079467329e-13,1.1645460529859e-16
Ag2O4W,silver tungstate,13465-93-5,150.0,1500.0,86.513529875106,-0.010200950729158,0.00056546482687828,-1.2675552169383e-06,1.2643640002925e-09,-6.1207079467329e-13,1.1645460529859e-16
Ag2S,silver (I) sulfide,21548-73-2,150.0,1500.0,36.213696271356,0.16474907361444,-0.00043764591610789,5.9684746314765e-07,-4.4547030587094e-10,1.7431326990299e-13,-2.8037280959394e-17
Ag2O4S,silver (I) sulfate,10294-26-5,150.0,1500.0,87.159150946677,-0.073167378785487,0.00082447213267231,-1.7131252896773e-06,1.6544330414332e-09,-7.8391185347277e-13,1.4671019688859e-16
Ag2Se,silver (I) selenide,1302-09-6,150.0,1500.0,35.568075202108,0.22771550163205,-0.00069665322170401,1.0424175354414e-06,-8.3553934651993e-10,3.461543284416e-13,-5.8292872496246e-17
